date,Atchafalaya,Barataria,Breton Sound,Calcasieu-Sabine,Mermentau,Mississippi River Delta,Pearl River,Pontchartrain,Teche-Vermillion,Terrebonne
19320101,100,100,100,100,100,100,100,100,100,100
19560101,92.9391288,93.43280758,87.94,98.24603935,95.87903201,92.27305682,100,93.9431229,94.77,93.74160141
19730901,92.68981089,90.49047831,92.39,83.80707645,92.76508708,30.65593162,100,93.16135687,96.51,92.58317502
19750701,99.03095305,82.76703294,81.32,84.57799488,94.22709675,35.97130538,100,90.39893593,96.21,88.60108429
19770401,89.61802615,87.70763222,83.36,71.75602129,83.47229904,52.92860686,100,89.91395145,91.14,80.86569204
19850101,87.87280083,77.69668464,78.07,74.59969212,81.45303516,46.41126417,100,88.60195984,89.69,76.77644687
19880101,96.85294948,79.10027166,79.48,77.13548043,81.99776681,49.24638455,100,89.68503153,88.79,80.71799268
19900801,93.57418384,74.61244239,73.19,79.90763524,87.2102852,52.6538711,100,87.84643364,87.06,76.60557898
19950701,105.9271804,69.3832867,68.32,77.25063334,88.6775126,52.24176747,100,84.5565016,86.87,73.16273574
19980201,85.11619155,73.82178432,73.27,72.26026982,77.01795945,43.51509139,100,87.04295189,88.3,73.37704462
19990901,108.7731677,71.34303748,70.21,78.1100377,87.03496927,58.00358683,100,85.67848062,89.14,73.59946249
20020201,99.57662997,73.12708646,71.23,76.35001636,81.52086573,50.97493036,100,85.46765714,88.51,74.95655901
20040901,102.9729984,70.85918177,69.19,79.27974885,85.20354389,45.41534704,100,84.75556239,86.4,72.57599277
20060801,100.6632797,70.0063523,61.76,75.77546395,76.31356507,40.43957721,91.47485081,82.54960685,86.97,71.92032343
20080801,95.56402296,68.68318264,56.22,70.3317616,75.93893162,43.40061816,91.47485081,81.52263412,84.63,69.77318011
20090801,103.1846834,68.31082999,56.71,68.95356307,76.28643284,41.47365208,91.47485081,81.72621902,85.77,69.76333349
20100801,107.8699784,69.21231534,59.26,74.11241348,83.80623415,52.6691342,91.47485081,82.42564627,85.91,70.70629257
