epaNumber,importer_name,link1,title1,link2,title2,link3,title3,link3,title3,link4,title4,link5,title5
ALD070513767,GIANT RESOURCE RECOVERY,,,,,,,,,,,,
ALD981475304,KW PLASTICS,,,,,,,,,,,,
ARD008351461,ALCOA REYNOLDS METAL CO GUM SPRING PLANT,,,,,,,,,,,,
ARD069748192,CLEAN HARBORS INC,http://www.ktbs.com/story/22334676/lawsuit-filed-over-2005-chemical-fire-in-el-dorado,Lawsuit Filed Over 2005 Chemical Fire In El Dorado,https://www.cleanharbors.com/assets/downloads/adobe/press_releases/2014/Clean_Harbors_Hosts_Groundbreaking_of_New%20Incineration_Unit_.pdf,"News release: Clean Harbors Hosts Groundbreaking of New
Incineration Unit in El Dorado, Ark",http://www.magnoliareporter.com/news_and_business/regional_news/article_c234c114-496a-11e2-afe3-0019bb2963f4.html,"Roadblocks lifted, El Dorado residents return to homes following chemical fire",https://www.recyclingtoday.com/article/clean-harbors-arkansas-incinerator-osha-vpp-certification,Clean Harbors’ Arkansas incinerator achieves top safety certification,https://yosemite.epa.gov/opa/admpress.nsf/0/F23258D12C235C9B85257CD70065F4A9,"EPA Settlement Protects Arkansas Community Company will invest $750,000 for environmental project",https://calmatters.org/articles/little-town-in-arkansas-and-its-california-connection/,A little town in Arkansas and its California connection
ARD981057870,RINECO,,,,,,,,,,,,
AZD980695332,GANNON AND SCOTT,,,,,,,,,,,,
AZD980735500,WORLD RESOURCES COMPANY,,,,,,,,,,,,
CAD008302903,VEOLIA ES TECHNICAL SOLUTIOINS,,,,,,,,,,,,
CAD008302903,VEOLIA ES TECHNICAL SOLUTIONS LLC,,,,,,,,,,,,
CAD060398229,HERAEUS METAL PROCESSING INC,,,,,,,,,,,,
CAD066233966,RSR CORP/QUETMETCO INC,,,,,,,,,,,,
CAD066233966,RSR CORP./ QUETMETCO INC.,,,,,,,,,,,,
CAD088504881,KINBURSKY BROTHERS INC,,,,,,,,,,,,
CAT000646117,CHEMICAL WASTE MANAGEMENT,,,,,,,,,,,,
ILD000608471,CLEAN HARBORS SERVICES INC.,,,,,,,,,,,,
ILD005121439,SIPS METALS CORPORATION,,,,,,,,,,,,
KSD980633259,SYSTECH ENVIRONMENTAL,,,,,,,,,,,,
LAD980622161,CATALYST RECOVERY OF LA LLC,,,,,,,,,,,,
MID005338801,GAGE PRODUCTS,,,,,,,,,,,,
MID074259565,DYNECOL INC,,,,,,,,,,,,
MID980991566,"EQ DETROIT, INC.",,,,,,,,,,,,
MND006172969,3M COTTAGE GROVE CENTER,,,,,,,,,,,,
MND981098478,SIEMENS WATER TECHNOLOGIES CORP,,,,,,,,,,,,
MND981098478,SIEMEN INDUSTRY INC,,,,,,,,,,,,
NCD000648451,CLEAN HARBORS INC,,,,,,,,,,,,
NCD095119210,METALLIX REFINING INC,,,,,,,,,,,,
NED981723513,CLEAN HARBORS INC,http://www.westernnebraskaobserver.net/story/2013/07/18/news/clean-harbors-reports-minor-waste-spill-at-kimball-facility-last-wednesday/663.html,Clean Harbors reports minor waste spill at Kimball facility last Wednesday,http://caselaw.findlaw.com/us-8th-circuit/1525011.html,BARRETT v. RHODIA INC,,,,,,,,
NJD002182897,SAFETY-KLEEN,,,,,,,,,,,,
NYD002113736,TULIP CORPORATION,,,,,,,,,,,,
NYD067919340,SABIN METAL CORPORATION,,,,,,,,,,,,
NYD067919340,SABIN METAL CORPORATION,,,,,,,,,,,,
OHD000724153,CLEAN HARBORS INC,,,,,,,,,,,,
OHD005048947,SYSTECH ENVIRONMENTAL,,,,,,,,,,,,
OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,,,,,,,,,,,,
OHD042319244,AMG VANADIUM,,,,,,,,,,,,
OHD048415665,ROSS INCINERATION SERVICES INC,,,,,,,,,,,,
OHD980568992,ENVIRITE OF OHIO,,,,,,,,,,,,
OHD980587364,CLEAN HARBORS INC,,,,,,,,,,,,
OHD980587364,CLEAN HARBORS INC,,,,,,,,,,,,
OHD980587364,CLEAN HARBOR RECYCLING SERVICES OF OHIO LLC,,,,,,,,,,,,
OHD980587364,"CLEAN HARBORS RECYCLING SERVICES OF OHIO, LLC",,,,,,,,,,,,
OHD980613541,HERITAGE WTI,http://www.publicintegrity.org/2015/08/14/17804/residents-ohio-town-see-environmental-justice-empty-promise,Residents of Ohio town see 'environmental justice' as empty promise,http://www.csb.gov/statement-of-csb-chairman-rafael-moure-eraso-following-fatal-fire-at-eastern-ohio-hazardous-waste-storage-and-processing-facility-tragedy-emphasizes-importance-of-an-national-fire-code-for-hazardous-waste-handling/,Statement of CSB Chairman Rafael Moure-Eraso Following Fatal Fire at Eastern Ohio Hazardous Waste Storage and Processing Facility,https://www.dailykos.com/story/2015/8/18/1396318/-Welcome-to-East-Liverpool-Ohio-home-of-one-of-the-world-s-largest-hazardardous-waste-incinerators,"Welcome to East Liverpool, Ohio, home of one of the world's largest hazardardous waste incinerators",,,,,,
OHD986976348,AGMET METALS INC,,,,,,,,,,,,
OHR000161299,AGMET METALS INC,,,,,,,,,,,,
OKD987097151,TRICAT INC,,,,,,,,,,,,
ORD089452353,CHEMICAL WASTE MANAGEMENT,,,,,,,,,,,,
PAD000736942,CALGON CARBON CORPORATION,,,,,,,,,,,,
PAD002389559,KEYSTONE CEMENT,,,,,,,,,,,,
PAD002395887,HORSEHEAD CORP,,,,,,,,,,,,
PAD087561015,INMETCO,,,,,,,,,,,,
RID059735761,ADVANCED CHEMICAL COMPANY,,,,,,,,,,,,
RID059735761,ADVANCED CHEMICAL COMPANY,,,,,,,,,,,,
SCD036275626,GIANT RESOURCE RECOVERY,,,,,,,,,,,,
TDX0000838896,VEOLIA ES TECHNICAL SOLUTIONS LLC,,,,,,,,,,,,
TND000646612,HERAEUS METAL PROCESSING INC,,,,,,,,,,,,
TND982109142,DIVERSIFIED SCIENTIFIC SERVICES INC,,,,,,,,,,,,
TXD000838896,VEOLIA ES TECHNICAL SOLUTIONS LLC,,,,,,,,,,,,
TXD055135388,SET ENVIRONMENTAL INC,,,,,,,,,,,,
TXD055141378,CLEAN HARBORS INC,,,,,,,,,,,,
TXD069452340,US ECOLOGY TEXAS,http://www.caller.com/news/toxic-waste-a-growing-concern-for-neighbors-of-us-ecology-site-in-robstown-ep-359108449-316161441.html,Toxic waste a growing concern for neighbors of U.S. Ecology site in Robstown,,,,,,,,,,
TXD074195678,GULF CHEMICAL & METALLURGICAL CORP,,,,,,,,,,,,
TXD077603371,SAFETY-KLEEN,,,,,,,,,,,,
TXD106829963,EURECAT US INC,,,,,,,,,,,,
TXD981053770,"AMLON RESOURCES C/O DUATHERM, INC.",,,,,,,,,,,,
TXD982290140,CLEAN HARBORS INC,,,,,,,,,,,,
TXR055141378,CLEAN HARBORS INC,,,,,,,,,,,,
UTD981552177,CLEAN HARBORS INC,,,,,,,,,,,,
WIR000000356,MERCURY WASTE SOLUTIONS,,,,,,,,,,,,
